Date,Open,High,Low,Close,Adj Close,Volume
25-Feb-25,248,249.98,244.91,247.04,247.04,"46,872,348"
24-Feb-25,244.93,248.86,244.42,247.1,247.1,"51,326,400"
21-Feb-25,245.95,248.69,245.22,245.55,245.55,"53,197,400"
20-Feb-25,244.94,246.78,244.29,245.83,245.83,"32,316,900"
19-Feb-25,244.66,246.01,243.16,244.87,244.87,"32,204,200"
18-Feb-25,244.15,245.18,241.84,244.47,244.47,"48,822,500"
14-Feb-25,241.25,245.55,240.99,244.6,244.6,"40,896,200"
13-Feb-25,236.91,242.34,235.57,241.53,241.53,"53,614,100"
12-Feb-25,231.2,236.96,230.68,236.87,236.87,"45,243,300"
11-Feb-25,228.2,235.23,228.13,232.62,232.62,"53,718,400"
10-Feb-25,229.57,230.59,227.2,227.65,227.65,"33,115,600"
7-Feb-25,232.6,234,227.26,227.63,227.38,"39,707,200"
6-Feb-25,231.29,233.8,230.43,233.22,232.96,"29,925,300"
5-Feb-25,228.53,232.67,228.27,232.47,232.21,"39,620,300"
4-Feb-25,227.25,233.13,226.65,232.8,232.54,"45,067,300"
3-Feb-25,229.99,231.83,225.7,228.01,227.76,"73,063,300"
31-Jan-25,247.19,247.19,233.44,236,235.74,"101,075,100"
30-Jan-25,238.67,240.79,237.21,237.59,237.33,"55,658,300"
29-Jan-25,234.12,239.86,234.01,239.36,239.1,"45,486,100"
28-Jan-25,230.85,240.19,230.81,238.26,238,"75,707,600"
27-Jan-25,224.02,232.15,223.98,229.86,229.61,"94,863,400"
24-Jan-25,224.78,225.63,221.41,222.78,222.54,"54,697,900"
23-Jan-25,224.74,227.03,222.3,223.66,223.41,"60,234,800"
22-Jan-25,219.79,224.12,219.79,223.83,223.58,"64,126,500"
21-Jan-25,224,224.42,219.38,222.64,222.4,"98,070,400"
17-Jan-25,232.12,232.29,228.48,229.98,229.73,"68,488,300"
16-Jan-25,237.35,238.01,228.03,228.26,228.01,"71,759,100"
15-Jan-25,234.64,238.96,234.43,237.87,237.61,"39,832,000"
14-Jan-25,234.75,236.12,232.47,233.28,233.02,"39,435,300"
13-Jan-25,233.53,234.67,229.72,234.4,234.14,"49,630,700"
10-Jan-25,240.01,240.16,233,236.85,236.59,"61,710,900"
8-Jan-25,241.92,243.71,240.05,242.7,242.43,"37,628,900"
