Date,Open,High,Low,Close,Adj Close,Volume,IsDividend,DividendAmount,IsSplit,SplitRatio
"Jan 25, 2007",3.11,3.16,3.07,3.08,2.6,905973600.0,False,nan,False,nan
"Jan 26, 2007",3.11,3.12,3.04,3.05,2.57,986874000.0,False,nan,False,nan
"Jan 29, 2007",3.08,3.09,3.05,3.07,2.59,901664400.0,False,nan,False,nan
"Jan 30, 2007",3.09,3.09,3.04,3.06,2.57,577970400.0,False,nan,False,nan
"Jan 31, 2007",3.03,3.07,3.01,3.06,2.58,856069200.0,False,nan,False,nan
"Feb 01, 2007",3.08,3.08,3.03,3.03,2.55,664342000.0,False,nan,False,nan
"Feb 02, 2007",3.0,3.04,2.99,3.03,2.55,621530000.0,False,nan,False,nan
"Feb 05, 2007",3.01,3.04,3.0,3.0,2.53,578852400.0,False,nan,False,nan
"Feb 06, 2007",3.02,3.02,2.96,3.01,2.53,864393600.0,False,nan,False,nan
"Feb 07, 2007",3.02,3.09,2.98,3.08,2.59,1066825200.0,False,nan,False,nan
"Feb 08, 2007",3.05,3.09,3.05,3.08,2.59,679030800.0,False,nan,False,nan
"Feb 09, 2007",3.07,3.08,2.97,2.97,2.51,860540800.0,False,nan,False,nan
"Feb 12, 2007",3.02,3.04,2.99,3.03,2.55,724071600.0,False,nan,False,nan
"Feb 13, 2007",3.04,3.05,3.01,3.03,2.55,580986000.0,False,nan,False,nan
"Feb 14, 2007",3.02,3.06,3.02,3.05,2.57,507981600.0,False,nan,False,nan
"Feb 15, 2007",3.05,3.06,3.03,3.04,2.56,363661200.0,False,nan,False,nan
"Feb 16, 2007",3.04,3.05,3.02,3.03,2.55,399868000.0,False,nan,False,nan
"Feb 20, 2007",3.02,3.08,3.01,3.07,2.59,617702400.0,False,nan,False,nan
"Feb 21, 2007",3.07,3.2,3.07,3.19,2.68,1155313600.0,False,nan,False,nan
"Feb 22, 2007",3.24,3.24,3.16,3.2,2.69,838224800.0,False,nan,False,nan
"Feb 23, 2007",3.18,3.23,3.17,3.18,2.68,517893600.0,False,nan,False,nan
"Feb 26, 2007",3.21,3.21,3.13,3.16,2.66,615848800.0,False,nan,False,nan
"Feb 27, 2007",3.08,3.11,2.98,3.0,2.53,1145813200.0,False,nan,False,nan
"Feb 28, 2007",2.96,3.06,2.96,3.02,2.55,919475200.0,False,nan,False,nan
"Mar 01, 2007",3.0,3.15,2.99,3.11,2.62,1415528800.0,False,nan,False,nan
"Mar 02, 2007",3.1,3.13,3.04,3.05,2.57,860000400.0,False,nan,False,nan
"Mar 05, 2007",3.07,3.17,3.06,3.08,2.6,838899600.0,False,nan,False,nan
"Mar 06, 2007",3.14,3.15,3.12,3.15,2.65,723186800.0,False,nan,False,nan
"Mar 07, 2007",3.14,3.18,3.12,3.13,2.64,626284400.0,False,nan,False,nan
"Mar 08, 2007",3.16,3.17,3.12,3.14,2.65,511011200.0,False,nan,False,nan
"Mar 09, 2007",3.17,3.17,3.12,3.14,2.65,451836000.0,False,nan,False,nan
"Mar 12, 2007",3.15,3.21,3.14,3.21,2.7,729408400.0,False,nan,False,nan
"Mar 13, 2007",3.19,3.24,3.16,3.16,2.66,867890800.0,False,nan,False,nan
"Mar 14, 2007",3.16,3.21,3.14,3.21,2.71,796586000.0,False,nan,False,nan
"Mar 15, 2007",3.21,3.23,3.19,3.2,2.7,559498800.0,False,nan,False,nan
"Mar 16, 2007",3.2,3.21,3.19,3.2,2.7,571704000.0,False,nan,False,nan
"Mar 19, 2007",3.22,3.27,3.2,3.25,2.74,712961200.0,False,nan,False,nan
"Mar 20, 2007",3.26,3.28,3.25,3.27,2.75,488916400.0,False,nan,False,nan
"Mar 21, 2007",3.29,3.36,3.27,3.35,2.82,686896000.0,False,nan,False,nan
"Mar 22, 2007",3.35,3.37,3.32,3.36,2.83,561492400.0,False,nan,False,nan
"Mar 23, 2007",3.33,3.36,3.33,3.34,2.81,450884000.0,False,nan,False,nan
"Mar 26, 2007",3.36,3.42,3.33,3.42,2.88,864987200.0,False,nan,False,nan
"Mar 27, 2007",3.42,3.46,3.39,3.41,2.87,932052800.0,False,nan,False,nan
"Mar 28, 2007",3.39,3.41,3.33,3.33,2.81,942337200.0,False,nan,False,nan
"Mar 29, 2007",3.36,3.36,3.29,3.35,2.82,725723600.0,False,nan,False,nan
"Mar 30, 2007",3.37,3.38,3.31,3.32,2.8,600558000.0,False,nan,False,nan
"Apr 02, 2007",3.36,3.37,3.32,3.34,2.82,501992400.0,False,nan,False,nan
"Apr 03, 2007",3.36,3.4,3.35,3.38,2.84,583934400.0,False,nan,False,nan
"Apr 04, 2007",3.39,3.4,3.36,3.37,2.84,476784000.0,False,nan,False,nan
"Apr 05, 2007",3.36,3.38,3.34,3.38,2.85,355516000.0,False,nan,False,nan
"Apr 09, 2007",3.4,3.4,3.32,3.34,2.82,413341600.0,False,nan,False,nan
"Apr 10, 2007",3.35,3.37,3.34,3.37,2.84,352466800.0,False,nan,False,nan
"Apr 11, 2007",3.35,3.36,3.3,3.31,2.79,549018400.0,False,nan,False,nan
"Apr 12, 2007",3.29,3.3,3.24,3.29,2.77,656675600.0,False,nan,False,nan
"Apr 13, 2007",3.25,3.26,3.22,3.22,2.72,719941600.0,False,nan,False,nan
"Apr 16, 2007",3.23,3.27,3.22,3.27,2.75,609033600.0,False,nan,False,nan
"Apr 17, 2007",3.29,3.3,3.2,3.23,2.72,751920400.0,False,nan,False,nan
"Apr 18, 2007",3.22,3.24,3.2,3.23,2.72,464044000.0,False,nan,False,nan
"Apr 19, 2007",3.22,3.26,3.21,3.22,2.72,425913600.0,False,nan,False,nan
"Apr 20, 2007",3.25,3.26,3.23,3.25,2.74,522779600.0,False,nan,False,nan
"Apr 23, 2007",3.27,3.35,3.27,3.34,2.81,780290000.0,False,nan,False,nan
"Apr 24, 2007",3.36,3.44,3.26,3.33,2.81,1055252800.0,False,nan,False,nan
"Apr 25, 2007",3.37,3.41,3.35,3.41,2.87,1187144000.0,False,nan,False,nan
"Apr 26, 2007",3.63,3.66,3.51,3.53,2.97,1737778000.0,False,nan,False,nan
"Apr 27, 2007",3.51,3.57,3.49,3.57,3.01,699403600.0,False,nan,False,nan
"Apr 30, 2007",3.57,3.61,3.56,3.56,3.0,616509600.0,False,nan,False,nan
"May 01, 2007",3.56,3.58,3.52,3.55,2.99,532523600.0,False,nan,False,nan
"May 02, 2007",3.56,3.59,3.55,3.59,3.02,505145200.0,False,nan,False,nan
"May 03, 2007",3.6,3.62,3.57,3.59,3.02,576077600.0,False,nan,False,nan
"May 04, 2007",3.6,3.63,3.59,3.6,3.03,381987200.0,False,nan,False,nan
"May 07, 2007",3.61,3.73,3.61,3.71,3.13,861557200.0,False,nan,False,nan
"May 08, 2007",3.7,3.76,3.69,3.75,3.16,783997200.0,False,nan,False,nan
"May 09, 2007",3.75,3.82,3.75,3.82,3.22,717757600.0,False,nan,False,nan
"May 10, 2007",3.81,3.89,3.78,3.83,3.23,1197257600.0,False,nan,False,nan
"May 11, 2007",3.85,3.9,3.81,3.88,3.27,653696400.0,False,nan,False,nan
"May 14, 2007",3.91,3.93,3.87,3.91,3.29,651946400.0,False,nan,False,nan
"May 15, 2007",3.91,3.94,3.8,3.84,3.24,954514400.0,False,nan,False,nan
"May 16, 2007",3.88,3.89,3.69,3.83,3.23,1126767600.0,False,nan,False,nan
"May 17, 2007",3.83,3.92,3.83,3.91,3.29,735291200.0,False,nan,False,nan
"May 18, 2007",3.94,3.95,3.92,3.93,3.31,621345200.0,False,nan,False,nan
"May 21, 2007",3.94,4.02,3.93,4.0,3.37,639892400.0,False,nan,False,nan
"May 22, 2007",4.02,4.06,4.0,4.05,3.42,572409600.0,False,nan,False,nan
"May 23, 2007",4.07,4.11,4.02,4.03,3.4,911374800.0,False,nan,False,nan
"May 24, 2007",4.03,4.09,3.94,3.95,3.33,887362000.0,False,nan,False,nan
"May 25, 2007",4.0,4.06,3.98,4.06,3.42,632959600.0,False,nan,False,nan
"May 29, 2007",4.09,4.1,4.02,4.08,3.44,645694000.0,False,nan,False,nan
"May 30, 2007",4.08,4.25,4.05,4.24,3.57,1478444800.0,False,nan,False,nan
"May 31, 2007",4.29,4.36,4.27,4.33,3.65,1297066400.0,False,nan,False,nan
"Jun 01, 2007",4.32,4.33,4.22,4.23,3.56,885262000.0,False,nan,False,nan
"Jun 04, 2007",4.24,4.35,4.21,4.33,3.65,886673200.0,False,nan,False,nan
"Jun 05, 2007",4.34,4.38,4.3,4.38,3.69,920785600.0,False,nan,False,nan
